question,option_a,option_b,dimension,a_value,b_value
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (1),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (1),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (1),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (1),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (2),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (2),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (2),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (2),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (3),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (3),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (3),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (3),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (4),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (4),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (4),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (4),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (5),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (5),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (5),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (5),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (6),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (6),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (6),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (6),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (7),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (7),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (7),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (7),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (8),در جمع,تنهایی,EI,E,I
